Reservoir,Site_code,Site_number,Depth_m,Date,Rep,Sample_ID,TIC.Mean.of.2.reps,TC.Mean.of.2.reps,TOC.Mean.of.2.reps,TNb.Mean.of.2.reps,Name,Run_date
CCR,CP2,96,0.1,2/17/2025,2,CP2_17feb25_01R2,2.376491612,7.089000966,4.712509354,0.362372238,Sample 17,3-Mar-25
CCR,CP2,96,0.1,2/17/2025,1,CP2_17feb25_01R1,1.679797579,5.923496422,4.243698843,0.380711024,Sample 18,3-Mar-25
CCR,CC4,88,9,2/17/2025,2,CC4_17feb25_9R2,8.783003061,18.69254875,9.909545686,0.578289612,Sample 19,3-Mar-25
CCR,CC2,92,0.1,12/17/2024,1,CC2_17dec24_01R1,2.179094969,8.077519295,5.898424325,0.426412443,Sample 20,3-Mar-25
CCR,CP1,98,0.1,2/17/2025,1,CP1_17feb25_01R1,0.914117177,4.080827226,3.16671005,0.292000786,Sample 21,3-Mar-25
CCR,C50,50,9,12/17/2024,1,C50_17dec24_9R1,9.460230643,19.53367722,10.07344657,0.491325924,Sample 22,3-Mar-25
CCR,CP1,98,1,2/17/2025,1,CP1_17feb25_BOTR1,3.820082629,9.121086847,5.301004218,0.371250539,Sample 23,3-Mar-25
CCR,CS1,101,0.1,2/17/2025,1,CS1_17feb25_01R1,0.886112809,4.321149646,3.435036838,0.328387266,Sample 24,3-Mar-25
CCR,C50,50,20,12/17/2024,1,C50_17dec24_20R1,9.866977012,20.37421376,10.50723675,0.583238173,Sample 25,3-Mar-25
CCR,CC4,88,1.5,2/17/2025,1,CC4_17feb25_15R1,9.18565123,19.47093294,10.28528171,0.636944618,Sample 26,3-Mar-25
CCR,C50,50,0.1,12/17/2024,1,C50_17dec24_01R1,9.307231169,19.27678084,9.969549668,0.500349771,Sample 27,3-Mar-25
CCR,C50,50,1.5,12/17/2024,1,C50_17dec24_15R1,9.214683868,18.82923529,9.614551424,0.448489625,Sample 13,5-Mar-25
CCR,CS2,100,0.1,12/17/2024,1,CS2_17dec24_01R1,1.880122369,7.104479932,5.224357562,0.28783941,Sample 14,5-Mar-25
CCR,CC4,88,0.1,12/17/2024,1,CC4_17dec24_01R1,9.631479746,19.35118287,9.719703122,0.489097091,Sample 4,6-Mar-25
CCR,CS1,101,0.1,12/17/2024,2,CS1_17dec24_01R2,1.409730853,6.844726777,5.434995924,0.334219603,Sample 6,6-Mar-25
CCR,CC4,88,0.1,12/17/2024,2,CC4_17dec24_01R2,9.49335627,19.16208927,9.668733004,0.494585156,Sample 10,6-Mar-25
CCR,CS1,101,0.1,12/17/2024,1,CS1_17dec24_01R1,1.39135975,6.489962057,5.098602307,0.331154839,Sample 11,6-Mar-25
CCR,CP1,98,0.1,12/17/2024,1,CP1_17dec24_01R1,1.294401152,6.531094199,5.236693047,0.321532906,Sample 12,6-Mar-25
CCR,CC3,90,5,2/17/2025,1,CC3_17feb25_BOTR1,9.142264084,19.03869285,9.896428766,0.511548268,Sample 15,6-Mar-25
CCR,CC3,90,0.1,2/17/2025,1,CC3_17feb25_01R1,8.336657208,17.40254767,9.065890464,0.477051856,Sample 18,6-Mar-25
CCR,C50,50,6,2/17/2025,1,C50_17feb25_6R1,9.665160101,19.56198509,9.896824992,0.488027987,Sample 19,6-Mar-25
CCR,CC2,92,2,2/17/2025,1,CC2_17feb25_BOTR1,9.749531092,19.87276127,10.12323018,0.557662274,Sample 20,6-Mar-25
CCR,CC4,88,1.5,12/17/2024,1,CC4_17dec24_15R1,9.346931669,18.8013092,9.454377536,0.437246665,Sample 4,7-Mar-25
CCR,CC2,92,0.1,2/17/2025,1,CC2_17feb25_01R1,9.731930852,18.92455616,9.192625306,0.461017547,Sample 5,7-Mar-25
CCR,CC3,90,1.5,12/17/2024,2,CC3_17dec24_15R2,9.080683344,18.47757297,9.396889621,0.419273559,Sample 6,7-Mar-25
CCR,CC4,88,11,12/17/2024,1,CC4_17dec24_BOTR1,9.677517634,19.23238956,9.501827598,0.442216188,Sample 7,7-Mar-25
CCR,CC3,90,1.5,2/17/2025,1,CC3_17feb25_15R1,10.01973913,19.70493088,9.68519175,0.473358528,Sample 8,7-Mar-25
CCR,C50,50,1.5,2/17/2025,1,C50_17feb25_15R1,9.756228578,19.7128823,9.956653719,0.552208284,Sample 9,7-Mar-25
CCR,CP2,96,0.1,12/17/2024,1,CP2_17dec24_01R1,1.894716364,7.366604485,5.471888121,0.305968447,Sample 10,7-Mar-25
CCR,CC2,92,0.1,12/17/2024,2,CC2_17dec24_01R2,1.911485218,7.562550103,5.651064885,0.344730722,Sample 13,7-Mar-25
CCR,CC4,88,6,12/17/2024,1,CC4_17dec24_6R1,9.02011014,17.98742494,8.967314802,0.416788798,Sample 14,7-Mar-25
CCR,CC3,90,4,12/17/2024,1,CC3_17dec24_BOTR1,9.052621182,18.22426356,9.171642376,0.43285692,Sample 15,7-Mar-25
CCR,CC3,90,0.1,12/17/2024,1,CC3_17dec24_01R1,8.500617908,17.58587841,9.085260506,0.43732949,Sample 19,7-Mar-25
CCR,CP1,98,0.1,12/17/2024,2,CP1_17dec24_01R2,1.932018508,7.349565736,5.417547228,0.31218035,Sample 20,7-Mar-25
