Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
361.00	0.001	0.006	0.016	0.006	0.025	0.006	0.005	0.017	0.008	0.007	0.007	0.007	0.009
362.00	0.000	0.006	0.016	0.006	0.025	0.006	0.005	0.017	0.008	0.007	0.007	0.007	0.009
363.00	0.001	0.006	0.016	0.006	0.025	0.006	0.005	0.017	0.008	0.007	0.007	0.007	0.009
364.00	0.001	0.006	0.015	0.005	0.025	0.006	0.005	0.016	0.008	0.007	0.007	0.006	0.008
365.00	0.001	0.006	0.015	0.005	0.025	0.006	0.005	0.016	0.008	0.007	0.007	0.006	0.008
366.00	0.001	0.006	0.015	0.005	0.024	0.005	0.005	0.016	0.008	0.007	0.007	0.006	0.008
367.00	0.000	0.005	0.014	0.005	0.024	0.005	0.005	0.016	0.007	0.006	0.007	0.006	0.008
368.00	0.000	0.005	0.014	0.005	0.024	0.005	0.005	0.016	0.007	0.007	0.006	0.006	0.008
369.00	0.000	0.005	0.014	0.005	0.023	0.005	0.004	0.015	0.007	0.006	0.006	0.006	0.008
370.00	0.000	0.005	0.014	0.005	0.023	0.005	0.005	0.015	0.007	0.007	0.006	0.006	0.008
371.00	0.001	0.005	0.014	0.005	0.023	0.005	0.004	0.015	0.007	0.007	0.006	0.006	0.008
372.00	0.001	0.005	0.014	0.005	0.023	0.005	0.004	0.015	0.007	0.007	0.006	0.006	0.008
373.00	0.001	0.005	0.013	0.005	0.023	0.005	0.004	0.014	0.007	0.006	0.006	0.006	0.008
374.00	0.000	0.005	0.013	0.004	0.022	0.005	0.004	0.014	0.007	0.006	0.006	0.005	0.007
375.00	0.001	0.005	0.013	0.004	0.022	0.005	0.004	0.014	0.007	0.006	0.006	0.005	0.007
376.00	0.001	0.005	0.013	0.004	0.022	0.005	0.004	0.014	0.007	0.006	0.006	0.005	0.007
377.00	0.001	0.005	0.013	0.004	0.022	0.005	0.004	0.014	0.006	0.006	0.006	0.005	0.007
378.00	0.001	0.005	0.013	0.004	0.022	0.005	0.004	0.014	0.006	0.006	0.006	0.005	0.007
379.00	0.001	0.005	0.013	0.004	0.021	0.005	0.004	0.014	0.006	0.006	0.006	0.005	0.007
380.00	0.001	0.005	0.012	0.004	0.021	0.004	0.004	0.013	0.006	0.006	0.006	0.005	0.007
381.00	0.001	0.004	0.012	0.004	0.021	0.004	0.004	0.013	0.006	0.006	0.006	0.005	0.007
382.00	0.001	0.005	0.012	0.004	0.021	0.004	0.004	0.013	0.006	0.006	0.006	0.005	0.007
