Wavelength nm.,milliQ,CC4_16SEP24_01R2,CS1_16SEP24_01R2,CC3_16SEP24_15R1,CC2_16SEP24_01R2,CC4_16SEP24_15R2,CC4_16SEP24_15R1,CC2_16SEP24_01R1,CC4_16SEP24_9R1,CC3_16SEP24_01R1,CC4_16SEP24_6R1,CC3_16SEP24_BOTR2,CC4_16SEP24_BOTR1
433,0,0.002,0.007,0.002,0.013,0.002,0.002,0.007,0.003,0.003,0.003,0.003,0.004
434,0,0.002,0.006,0.002,0.013,0.002,0.002,0.007,0.003,0.003,0.003,0.003,0.004
435,0,0.002,0.006,0.002,0.013,0.002,0.002,0.006,0.003,0.003,0.003,0.003,0.004
436,0,0.002,0.006,0.002,0.013,0.002,0.002,0.007,0.003,0.003,0.003,0.003,0.004
437,0,0.002,0.006,0.002,0.013,0.002,0.002,0.006,0.003,0.003,0.003,0.003,0.004
438,0,0.002,0.006,0.002,0.013,0.002,0.002,0.006,0.003,0.003,0.003,0.003,0.004
439,0,0.002,0.006,0.002,0.013,0.002,0.002,0.006,0.003,0.003,0.003,0.002,0.004
440,0,0.002,0.006,0.002,0.013,0.002,0.002,0.006,0.003,0.003,0.003,0.002,0.004
441,0,0.002,0.006,0.002,0.013,0.002,0.002,0.006,0.003,0.003,0.003,0.003,0.004
442,0,0.002,0.006,0.002,0.012,0.002,0.002,0.006,0.003,0.003,0.003,0.003,0.004
443,0,0.002,0.006,0.002,0.012,0.002,0.002,0.006,0.003,0.003,0.003,0.002,0.004
444,0,0.002,0.006,0.002,0.012,0.002,0.001,0.006,0.003,0.003,0.003,0.002,0.003
445,0,0.002,0.006,0.002,0.012,0.002,0.001,0.006,0.003,0.003,0.003,0.002,0.003
446,0,0.002,0.006,0.002,0.012,0.002,0.002,0.006,0.003,0.003,0.003,0.002,0.003
447,0,0.002,0.006,0.002,0.012,0.002,0.002,0.006,0.003,0.003,0.003,0.002,0.003
448,0,0.002,0.006,0.002,0.012,0.002,0.001,0.006,0.003,0.003,0.003,0.002,0.003
449,0,0.002,0.006,0.002,0.012,0.002,0.001,0.006,0.003,0.003,0.003,0.002,0.003
450,0,0.002,0.006,0.002,0.012,0.002,0.002,0.006,0.003,0.003,0.003,0.002,0.003
451,0,0.002,0.006,0.002,0.012,0.002,0.001,0.006,0.003,0.003,0.003,0.002,0.003
452,0,0.002,0.005,0.002,0.012,0.002,0.001,0.005,0.003,0.003,0.003,0.002,0.003
453,0,0.002,0.005,0.002,0.012,0.002,0.001,0.005,0.003,0.003,0.003,0.002,0.003
454,0,0.002,0.005,0.002,0.012,0.002,0.002,0.006,0.003,0.003,0.003,0.002,0.003
455,0,0.002,0.005,0.002,0.012,0.002,0.001,0.005,0.003,0.003,0.003,0.002,0.003
456,0,0.002,0.005,0.002,0.012,0.002,0.001,0.005,0.003,0.003,0.003,0.002,0.003
457,0,0.002,0.005,0.002,0.012,0.002,0.001,0.005,0.003,0.003,0.003,0.002,0.003
458,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
459,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
460,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.003,0.003,0.003,0.002,0.003
461,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
462,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
463,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
464,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
465,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
466,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
467,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
468,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
469,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
470,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
471,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
472,0,0.002,0.005,0.001,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
473,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
474,0,0.002,0.005,0.002,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
475,0,0.002,0.005,0.001,0.011,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
476,0,0.002,0.005,0.001,0.01,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
477,0,0.002,0.004,0.001,0.01,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
478,0,0.002,0.004,0.001,0.01,0.002,0.001,0.005,0.002,0.003,0.003,0.002,0.003
479,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.003,0.003,0.002,0.003
480,0,0.002,0.005,0.001,0.01,0.002,0.001,0.004,0.002,0.003,0.003,0.002,0.003
481,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.003,0.003,0.002,0.003
482,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.003,0.003,0.002,0.003
483,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.003,0.003,0.002,0.003
484,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.003,0.003,0.002,0.003
485,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.003,0.003,0.002,0.003
486,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.003,0.003,0.002,0.003
487,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.003,0.003,0.002,0.003
488,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.002,0.003,0.002,0.003
489,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.002,0.003,0.002,0.003
490,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.002,0.003,0.002,0.003
491,0,0.002,0.004,0.001,0.01,0.001,0.001,0.004,0.002,0.002,0.003,0.002,0.002
492,0,0.002,0.004,0.001,0.01,0.002,0.001,0.004,0.002,0.002,0.003,0.002,0.003
493,0,0.002,0.004,0.001,0.01,0.001,0.001,0.004,0.002,0.002,0.003,0.002,0.002
494,0,0.002,0.004,0.001,0.01,0.001,0.001,0.004,0.002,0.002,0.003,0.002,0.002
495,0,0.002,0.004,0.001,0.01,0.001,0.001,0.004,0.002,0.002,0.003,0.002,0.002
496,0,0.002,0.004,0.001,0.009,0.002,0.001,0.004,0.002,0.002,0.003,0.002,0.002
497,0,0.002,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.003,0.002,0.002
498,0,0.002,0.004,0.001,0.009,0.002,0.001,0.004,0.002,0.002,0.003,0.002,0.002
499,0,0.002,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002
500,0,0.002,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002
501,0,0.002,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.003,0.002,0.002
502,0,0.002,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002
503,0,0.002,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002
504,0,0.002,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002
505,0,0.002,0.004,0.001,0.009,0.002,0.001,0.004,0.002,0.002,0.003,0.002,0.002
506,0,0.001,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002
507,0,0.002,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.003,0.002,0.002
508,0,0.001,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002
509,0,0.001,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.001,0.002
510,0,0.001,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.002
511,0,0.001,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.001,0.002
512,0,0.001,0.004,0.001,0.009,0.001,0.001,0.004,0.002,0.002,0.002,0.001,0.002
513,0,0.001,0.004,0.001,0.009,0.001,0.001,0.003,0.002,0.002,0.002,0.001,0.002
514,0,0.001,0.004,0.001,0.009,0.001,0.001,0.003,0.002,0.002,0.002,0.001,0.002
515,0,0.001,0.004,0.001,0.009,0.001,0.001,0.003,0.002,0.002,0.002,0.001,0.002
516,0,0.001,0.004,0.001,0.009,0.001,0.001,0.003,0.002,0.002,0.002,0.001,0.002
517,0,0.001,0.004,0.001,0.009,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
518,0,0.001,0.003,0.001,0.009,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
519,0,0.001,0.003,0.001,0.009,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
520,0,0.001,0.003,0.001,0.009,0.001,0.001,0.003,0.002,0.002,0.002,0.001,0.002
521,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
522,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
523,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
524,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
525,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
526,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
527,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
528,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
529,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
530,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
531,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
532,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
533,0,0.001,0.003,0.001,0.008,0.001,0,0.003,0.001,0.002,0.002,0.001,0.002
534,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
535,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
536,0.001,0.002,0.004,0.002,0.009,0.002,0.002,0.004,0.002,0.003,0.003,0.002,0.003
537,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
538,0,0.001,0.003,0.001,0.008,0.001,0,0.003,0.001,0.002,0.002,0.001,0.002
539,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
540,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
541,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
542,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
543,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
544,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
545,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
546,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
547,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
548,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
549,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
550,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
551,0,0.001,0.003,0.001,0.008,0.001,0,0.003,0.001,0.002,0.002,0.001,0.002
552,0,0.001,0.003,0.001,0.008,0.001,0,0.003,0.001,0.002,0.002,0.001,0.002
553,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
554,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
555,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
556,0,0.001,0.003,0.001,0.008,0.001,0,0.003,0.001,0.002,0.002,0.001,0.002
557,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
558,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
559,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
560,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
561,0,0.001,0.003,0.001,0.008,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
562,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
563,0,0.001,0.003,0.001,0.007,0.001,0,0.003,0.001,0.002,0.002,0.001,0.002
564,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
565,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
566,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
567,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
568,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
569,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
570,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
571,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
572,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
573,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
574,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
575,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
576,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
577,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
578,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
579,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
580,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
581,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
582,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
583,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
584,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
585,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
586,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
587,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
588,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
589,0,0.001,0.003,0.001,0.007,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.002
590,0,0.001,0.003,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.002
591,0,0.001,0.003,0.001,0.007,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.002
592,0,0.001,0.003,0.001,0.007,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.002
593,0,0.001,0.003,0.001,0.007,0.001,0.001,0.003,0.001,0.002,0.002,0.001,0.002
594,0,0.001,0.003,0.001,0.007,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.002
595,0,0.001,0.003,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
596,0,0.001,0.003,0.001,0.007,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.002
597,0,0.001,0.003,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.002
598,0,0.001,0.003,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
599,0,0.001,0.003,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
600,0,0.001,0.003,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
601,0,0.001,0.003,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
602,0,0.001,0.003,0.001,0.007,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.001
603,0,0.001,0.003,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
604,0,0.001,0.002,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
605,0,0.001,0.002,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
606,0,0.001,0.002,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
607,0,0.001,0.002,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
608,0,0.001,0.002,0.001,0.007,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
609,0,0.001,0.002,0.001,0.007,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
610,0,0.001,0.002,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
611,0,0.001,0.002,0.001,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
612,0,0.001,0.002,0,0.007,0.001,0,0.002,0.001,0.002,0.002,0.001,0.001
613,0,0.001,0.002,0,0.007,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
614,0,0.001,0.002,0,0.007,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
615,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
616,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
617,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
618,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
619,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
620,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
621,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
622,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
623,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
624,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
625,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
626,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
627,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
628,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
629,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
630,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
631,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
632,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
633,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
634,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
635,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
636,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
637,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
638,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
639,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
640,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
641,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
642,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
643,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
644,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
645,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
646,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
647,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
648,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
649,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
650,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
651,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
652,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
653,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
654,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
655,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
656,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
657,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
658,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
659,0,0.001,0.002,0.001,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
660,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
661,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
662,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
663,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
664,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
665,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
666,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
667,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
668,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
669,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
670,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
671,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
672,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
673,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
674,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
675,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
676,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
677,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
678,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0,0.001
679,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0,0.001
680,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
681,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
682,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
683,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
684,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
685,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
686,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
687,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
688,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
689,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
690,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
691,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
692,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
693,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
694,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
695,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
696,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
697,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
698,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
699,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
700,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
701,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
702,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
703,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
704,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
705,0,0.001,0.002,0,0.006,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001
