Wavelength nm.,milliQ,CC4_16SEP24_01R2,CS1_16SEP24_01R2,CC3_16SEP24_15R1,CC2_16SEP24_01R2,CC4_16SEP24_15R2,CC4_16SEP24_15R1,CC2_16SEP24_01R1,CC4_16SEP24_9R1,CC3_16SEP24_01R1,CC4_16SEP24_6R1,CC3_16SEP24_BOTR2,CC4_16SEP24_BOTR1
245,0.002,0.047,0.066,0.046,0.101,0.046,0.046,0.089,0.05,0.05,0.049,0.048,0.051
246,0.002,0.046,0.066,0.045,0.1,0.046,0.046,0.088,0.05,0.049,0.048,0.048,0.051
247,0.002,0.046,0.065,0.045,0.1,0.045,0.045,0.087,0.049,0.048,0.048,0.047,0.05
248,0.002,0.045,0.064,0.044,0.099,0.045,0.045,0.086,0.048,0.048,0.047,0.047,0.05
249,0.002,0.045,0.063,0.044,0.098,0.044,0.044,0.086,0.048,0.047,0.046,0.047,0.049
250,0.002,0.044,0.062,0.043,0.097,0.044,0.044,0.085,0.048,0.047,0.046,0.046,0.049
251,0.002,0.044,0.062,0.043,0.097,0.044,0.044,0.085,0.047,0.047,0.045,0.046,0.048
252,0.002,0.044,0.061,0.043,0.096,0.043,0.043,0.084,0.047,0.046,0.045,0.045,0.048
253,0.002,0.043,0.061,0.042,0.095,0.043,0.043,0.083,0.046,0.046,0.045,0.045,0.048
254,0.002,0.043,0.06,0.042,0.095,0.043,0.042,0.083,0.046,0.045,0.044,0.044,0.047
255,0.002,0.043,0.06,0.042,0.094,0.042,0.042,0.082,0.045,0.045,0.044,0.044,0.047
256,0.002,0.042,0.059,0.041,0.093,0.042,0.042,0.082,0.045,0.045,0.044,0.044,0.046
257,0.002,0.042,0.059,0.041,0.093,0.042,0.042,0.081,0.045,0.044,0.043,0.043,0.046
258,0.002,0.042,0.058,0.041,0.092,0.041,0.041,0.081,0.044,0.044,0.043,0.043,0.046
259,0.002,0.041,0.058,0.04,0.092,0.041,0.041,0.08,0.044,0.043,0.042,0.042,0.045
260,0.002,0.041,0.057,0.04,0.091,0.04,0.041,0.08,0.043,0.043,0.042,0.042,0.045
261,0.002,0.041,0.057,0.04,0.091,0.04,0.04,0.079,0.043,0.043,0.042,0.042,0.045
262,0.002,0.04,0.056,0.039,0.09,0.04,0.04,0.078,0.043,0.042,0.041,0.042,0.044
263,0.002,0.04,0.056,0.039,0.089,0.039,0.039,0.078,0.042,0.042,0.041,0.041,0.044
264,0.002,0.039,0.055,0.038,0.088,0.039,0.039,0.077,0.042,0.041,0.04,0.04,0.043
265,0.002,0.039,0.055,0.038,0.088,0.038,0.039,0.076,0.041,0.041,0.04,0.04,0.043
266,0.002,0.039,0.055,0.037,0.087,0.038,0.038,0.076,0.041,0.041,0.04,0.039,0.043
267,0.002,0.038,0.054,0.037,0.086,0.038,0.038,0.075,0.04,0.04,0.039,0.039,0.042
268,0.002,0.038,0.054,0.037,0.085,0.037,0.037,0.074,0.04,0.039,0.038,0.038,0.041
269,0.001,0.037,0.053,0.036,0.084,0.036,0.036,0.073,0.039,0.039,0.038,0.038,0.041
270,0.002,0.036,0.053,0.035,0.083,0.036,0.036,0.072,0.039,0.038,0.037,0.037,0.04
271,0.001,0.036,0.052,0.035,0.082,0.035,0.035,0.071,0.038,0.037,0.037,0.036,0.04
272,0.001,0.035,0.052,0.034,0.081,0.035,0.035,0.07,0.038,0.037,0.036,0.036,0.039
273,0.002,0.035,0.051,0.033,0.08,0.034,0.034,0.07,0.037,0.036,0.035,0.035,0.039
274,0.002,0.034,0.051,0.033,0.079,0.033,0.033,0.068,0.036,0.036,0.035,0.035,0.038
275,0.002,0.033,0.05,0.032,0.078,0.033,0.033,0.068,0.036,0.035,0.034,0.034,0.037
276,0.001,0.032,0.049,0.031,0.077,0.032,0.032,0.066,0.035,0.034,0.033,0.033,0.037
277,0.001,0.032,0.049,0.031,0.076,0.031,0.031,0.065,0.035,0.033,0.032,0.033,0.036
278,0.001,0.031,0.048,0.03,0.075,0.03,0.03,0.064,0.034,0.033,0.032,0.032,0.035
279,0.001,0.03,0.048,0.029,0.074,0.03,0.03,0.063,0.033,0.032,0.031,0.031,0.034
