SIGNAL2,B,C,D
270,0.01277,588,4.60353E4
272,0.01279,264,2.0634E4
274,0.01279,248,1.93895E4
276,0.01278,304,2.37864E4
278,0.01279,232,1.81375E4
280,0.01279,292,2.28325E4
282,0.01279,236,1.84496E4
284,0.01279,256,2.00225E4
286,0.01278,268,2.09663E4
288,0.01279,224,1.75175E4
290,0.01279,292,2.28318E4
292,0.01279,276,2.15746E4
294,0.01279,272,2.12653E4
296,0.0128,360,2.81188E4
298,0.01278,332,2.59691E4
300,0.0128,368,2.87563E4
302,0.01281,344,2.68632E4
304,0.0128,324,2.53165E4
306,0.01279,312,2.43933E4
308,0.01278,364,2.84731E4
310,0.01279,472,3.69108E4
312,0.01279,312,2.4388E4
314,0.01281,340,2.65368E4
316,0.0128,400,3.12471E4
318,0.0128,340,2.65525E4
320,0.01282,388,3.02756E4
322,0.01282,424,3.30775E4
324,0.01281,404,3.15487E4
326,0.0128,356,2.78134E4
328,0.01279,392,3.06451E4
330,0.01281,348,2.71578E4
332,0.01284,340,2.6488E4
334,0.01282,332,2.58922E4
336,0.0128,372,2.90607E4
338,0.01279,360,2.81426E4
340,0.01281,448,3.49792E4
342,0.0128,428,3.3448E4
344,0.01282,432,3.36931E4
346,0.01281,284,2.2166E4
348,0.01281,404,3.15388E4
350,0.01279,372,2.90779E4
352,0.01281,396,3.09105E4
354,0.0128,444,3.46951E4
356,0.01281,368,2.87267E4
358,0.01281,392,3.05992E4
360,0.01283,364,2.83807E4
362,0.01284,484,3.77088E4
364,0.01283,404,3.14887E4
366,0.01283,400,3.11867E4
368,0.01282,420,3.27623E4
370,0.01282,424,3.30775E4
372,0.01282,368,2.86944E4
374,0.01282,380,2.96384E4
376,0.01282,352,2.74528E4
378,0.01282,380,2.9643E4
380,0.01281,328,2.56066E4
382,0.01281,304,2.37315E4
384,0.01283,328,2.55723E4
386,0.01282,388,3.02633E4
388,0.01284,320,2.49307E4
390,0.01281,356,2.77908E4
392,0.01282,356,2.77656E4
394,0.01282,428,3.33937E4
396,0.01282,448,3.49487E4
398,0.01283,376,2.93063E4
400,0.01282,404,3.15093E4
402,0.01284,336,2.61772E4
404,0.01284,384,2.99E4
406,0.01285,372,2.89575E4
408,0.01284,420,3.27184E4
410,0.01283,372,2.89846E4
412,0.01283,324,2.52604E4
414,0.01282,360,2.80767E4
416,0.01282,364,2.83976E4
418,0.01282,420,3.27664E4
420,0.01282,352,2.74674E4
422,0.01283,348,2.71256E4
424,0.01282,332,2.58938E4
426,0.01283,308,2.40145E4
428,0.01283,348,2.71282E4
430,0.0128,312,2.43697E4
